GHG,Site_EUI
456.4,81.7
317.4,78.1
58.7,29.1
411.8,79.8
437.8,77.7
354.8,81.6
436.2,105.6
524.3,94.7
167.7,109.1
359.9,82.5
513.7,108.3
379.9,79.9
325.1,69.0
171.0,67.5
108.1,51.9
374.0,91.2
483.3,157.2
406.8,91.5
469.6,88.1
299.5,47.5
153.5,61.8
148.6,95.1
264.9,103.7
321.3,71.5
566.6,89.0
208.8,81.4
305.6,85.3
86.8,88.2
360.3,35.8
387.7,64.2
390.1,99.5
157.8,57.6
480.8,98.8
201.0,67.8
81.7,47.2
304.7,74.8
466.5,83.3
187.1,70.2
250.1,41.9
344.2,89.0
72.1,42.6
376.0,60.8
581.9,76.3
391.5,76.6
211.1,64.0
473.1,86.8
334.4,83.2
526.5,86.7
178.3,75.7
339.9,56.6
121.1,66.6
264.7,83.8
421.7,53.0
106.6,95.1
119.2,33.4
103.1,92.4
208.0,101.3
571.6,89.2
392.1,41.6
372.5,47.6
348.3,56.8
368.0,51.4
458.4,97.0
259.0,64.9
99.1,63.3
548.1,60.4
252.7,92.3
594.5,96.5
236.5,87.4
413.7,73.7
368.5,78.9
396.3,64.6
407.1,65.7
243.7,78.4
395.2,121.4
218.7,100.9
230.3,83.3
345.3,68.5
532.3,106.6
161.9,40.8
256.6,81.8
366.9,68.3
555.4,102.3
159.6,82.9
311.6,76.4
271.3,72.3
408.1,99.6
224.3,63.6
320.7,72.6
485.0,73.8
297.3,52.9
410.8,62.5
90.1,44.7
410.4,66.9
129.9,37.9
180.6,79.3
215.6,63.7
514.1,73.4
478.8,96.1
168.7,58.2
462.3,66.4
533.7,65.1
284.4,72.9
399.4,85.5
560.3,59.7
469.3,69.7
509.8,60.0
575.6,71.1
367.2,104.6
242.7,77.6
151.5,76.1
543.9,62.8
438.7,85.2
364.8,80.5
401.2,44.8
472.9,71.8
100.3,36.6
160.3,76.1
197.1,51.0
472.8,64.9
144.1,31.0
501.9,66.2
449.6,70.7
418.3,55.7
215.4,87.3
265.6,86.4
373.0,82.4
322.1,60.7
417.6,86.0
205.5,60.4
248.2,36.1
367.8,71.3
534.4,75.5
555.5,79.3
336.3,85.3
252.3,58.2
410.9,87.0
263.4,70.2
281.4,77.1
555.8,89.4
58.2,70.6
540.9,87.8
311.0,89.9
418.3,93.7
160.0,77.4
471.1,72.1
486.4,50.3
249.1,68.5
455.0,62.0
288.2,115.2
332.9,83.0
279.7,75.5
511.3,93.5
406.4,71.5
221.1,75.3
395.2,111.8
213.9,51.6
279.2,91.3
321.6,96.8
361.7,89.7
267.3,91.7
255.0,74.6
222.1,92.3
359.9,82.4
239.8,75.5
283.1,65.2
274.2,75.2
478.6,151.0
513.5,72.4
198.4,29.7
236.4,78.6
472.7,102.1
86.9,60.4
284.8,59.6
472.1,86.2
318.8,56.5
334.3,70.3
227.4,79.1
85.9,51.3
387.2,69.3
157.0,99.1
236.0,38.0
171.1,59.6
322.4,108.7
172.8,31.1
385.9,91.0
555.7,54.0
331.4,56.3
154.3,72.6
200.7,74.5
528.4,77.9
137.7,61.8
454.0,52.6
380.8,83.8
238.6,84.7
298.5,79.5
589.6,101.4
456.8,63.9
108.8,30.7
317.3,71.7
338.2,87.2
395.4,97.1
449.7,131.7
157.6,106.2
190.4,62.0
454.7,55.4
290.0,95.8
408.1,83.4
498.9,118.0
238.7,59.7
426.7,107.3
297.4,75.1
392.5,106.1
299.8,71.1
228.4,18.5
505.1,85.3
389.7,71.8
134.4,81.8
572.4,77.6
290.8,71.7
452.2,77.4
255.7,76.5
295.8,99.1
119.9,56.3
220.5,74.3
189.2,147.7
386.8,71.0
207.4,106.8
393.6,61.7
204.4,47.3
261.2,65.5
392.5,80.8
433.0,137.3
226.1,95.0
477.0,94.6
212.4,70.8
392.5,100.7
207.8,82.6
156.9,38.7
460.1,80.6
387.9,59.1
131.4,42.1
248.8,72.6
227.4,70.5
402.3,47.1
464.5,128.1
145.4,59.5
149.9,65.8
530.7,101.3
311.2,84.5
142.4,50.9
407.4,82.0
452.1,76.6
331.3,51.8
222.3,56.9
377.7,113.2
140.9,64.9
523.5,77.9
409.2,56.0
302.1,56.3
476.0,63.9
340.1,95.8
102.8,46.6
225.2,88.1
599.3,89.1
261.2,98.7
253.5,73.8
339.0,61.7
322.4,56.9
92.5,32.0
362.0,72.9
245.4,67.7
573.4,105.1
318.8,76.1
255.3,64.7
238.4,79.9
174.0,60.7
450.8,88.5
303.7,80.7
416.9,78.5
82.7,45.5
287.8,76.1
440.8,121.9
251.4,79.7
396.3,77.2
457.7,77.5
453.1,102.1
297.7,67.3
378.0,60.5
382.9,91.4
334.3,90.4
284.5,50.8
426.3,80.3
456.9,72.7
326.7,66.5
290.7,72.6
261.3,72.6
133.8,18.7
237.0,73.5
422.3,63.7
74.0,23.5
82.5,35.9
439.6,79.9
293.4,80.8
402.4,132.8
288.9,107.2
303.8,119.5
440.8,110.5
548.4,80.5
288.9,78.8
455.1,161.7
196.3,86.1
277.3,91.2
409.0,74.5
466.4,115.7
302.7,84.6
195.4,71.3
219.2,92.5
444.6,104.8
515.9,87.9
306.4,103.5
195.9,82.3
224.1,81.5
203.4,94.8
187.8,78.3
295.1,96.2
103.8,57.3
162.4,76.8
552.5,86.9
245.6,81.5
293.3,126.5
236.2,113.2
515.3,63.5
444.5,61.1
140.4,75.6
275.9,81.4
501.2,108.2
369.3,110.8
183.0,85.5
408.9,86.1
312.8,61.8
296.5,104.5
197.8,80.8
183.3,19.9
354.8,73.6
269.4,46.9
334.7,75.7
509.5,88.7
456.9,74.4
587.2,87.3
390.9,132.7
231.9,86.0
201.7,93.6
252.3,97.1
166.3,66.9
573.7,102.6
591.1,100.2
108.7,53.3
257.6,60.8
547.6,79.8
386.6,108.4
275.5,80.2
221.4,75.4
108.2,61.7
326.0,56.2
205.4,95.0
171.9,67.0
282.5,64.8
285.3,113.6
316.0,99.2
234.5,59.1
449.0,122.1
240.9,96.4
515.8,105.3
256.2,85.0
129.7,60.8
243.8,73.0
505.9,87.5
140.2,70.5
55.7,31.9
307.2,77.6
441.2,98.3
247.5,72.3
139.0,70.5
247.7,59.6
485.4,121.4
521.1,80.3
365.8,78.9
436.5,60.8
322.9,61.8
338.5,77.4
566.1,91.0
394.3,91.0
347.9,86.4
418.8,81.1
424.2,119.2
277.6,63.4
181.3,88.6
473.9,118.2
102.7,38.2
227.6,49.7
359.8,101.6
352.9,66.9
501.5,63.3
453.4,47.6
425.2,55.9
250.0,86.3
374.9,70.6
441.3,56.8
109.7,30.3
217.9,61.9
230.2,64.9
272.3,108.5
122.7,29.6
505.0,82.6
547.2,171.8
494.2,121.0
457.2,93.8
196.6,73.9
211.5,87.2
299.2,81.5
442.5,78.1
455.0,77.2
524.0,152.3
468.9,106.6
555.9,89.0
442.2,92.1
223.4,63.1
479.7,75.3
244.0,64.3
535.8,120.9
305.5,92.1
445.2,67.4
261.5,69.6
399.4,99.5
426.6,127.9
544.0,81.5
263.7,41.7
400.6,57.1
311.3,60.0
417.0,65.2
594.8,60.5
314.0,65.6
324.7,57.7
333.0,58.7
384.2,99.4
565.3,52.4
139.0,41.0
495.9,94.1
239.9,173.7
454.9,99.9
417.3,104.3
215.8,61.0
225.3,83.3
574.9,79.8
373.9,94.8
230.1,67.0
387.9,69.9
212.3,96.8
259.9,84.8
194.6,70.8
354.4,75.4
273.9,144.1
232.3,84.5
507.9,91.8
493.3,67.1
174.5,68.7
96.1,41.2
300.5,46.4
427.6,115.8
387.5,58.0
299.8,48.4
386.9,89.4
439.3,50.1
545.0,96.5
188.1,63.7
325.4,64.8
506.6,86.7
519.0,74.4
256.6,75.6
455.6,61.0
455.0,63.8
395.7,50.6
501.4,80.1
311.5,131.5
527.9,60.4
383.8,62.1
512.9,84.2
485.1,55.4
529.4,58.9
542.6,72.0
548.0,59.7
395.7,94.4
456.4,66.6
425.2,71.1
415.7,52.2
455.9,60.6
575.3,55.6
339.4,85.0
263.2,79.0
484.6,82.0
489.9,63.9
273.4,50.4
357.2,66.5
379.3,72.2
347.3,60.9
251.0,66.5
203.9,64.4
333.5,75.4
392.8,107.5
563.9,65.6
529.1,23.8
571.4,88.1
395.7,53.4
403.4,64.0
360.7,62.6
317.3,56.9
277.2,60.8
259.0,57.8
332.8,85.3
66.2,51.4
78.7,23.1
288.9,89.2
339.1,138.4
378.2,137.1
162.0,68.2
359.8,93.5
170.5,103.1
407.7,91.2
184.3,70.8
372.4,79.1
122.5,41.4
234.3,84.3
